# Generated by scripts/build_other_language_place_names.py. Do not edit by hand.
# Names from Wikipedia (CC BY-SA 4.0):
#   https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
#   https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
other_language_place_name;language;meteoswiss_point_name;source
Claustra;rm;Klosters;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Cuvlignas;rm;Küblis;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Neuenstadt;de;La Neuveville;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Lonville;fr;Langendorf;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Prauliung;rm;Langwies;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Laufon;fr;Laufen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Laufenbourg;fr;Laufenburg;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Loyes;fr;Laupen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Lausanne it:Losanna;de;Lausanne;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Longeau;fr;Lengnau;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Loèche-les-Bains;fr;Leukerbad;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Irtièmont;fr;Liesberg;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Gléresse;fr;Ligerz;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Lützel;de;Lucelle;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Ligiaun;rm;Lugano;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Val Lumnezia;rm;Lugnez;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Lourtens;fr;Lurtigen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Luvis;de;Luven;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Lucerna;rm;Luzern;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Lucerne;fr;Luzern;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Leun;rm;Lüen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Locras;fr;Lüscherz;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Madulein;de;Madulain;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Macolin;fr;Magglingen;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Maiavilla;rm;Maienfeld;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Malögia;rm;Maloja;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Malögia /Maloggia;it;Maloja;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Mertenlach;de;Marly;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Marmels;de;Marmorera;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Martinach;de;Martigny;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Maton;rm;Mathon;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Cervin;fr;Matterhorn;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Cervino;it;Matterhorn;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Le;fr;Matterhorn;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Montménil;fr;Meinisberg;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Meringue;fr;Meiringen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Mesauc;rm;Mesocco;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Merlach;de;Meyriez;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Molinas;rm;Molinis;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Mons;de;Mon;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Murissen;rm;Morissen;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Milden;de;Moudon;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Montilier;fr;Muntelier;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Morat;fr;Murten;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Muot;rm;Muttler;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Morenges;fr;Mörigen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Villars-les-Moines;fr;Münchenwiler;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Munisenges;fr;Münsingen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Monsmier;fr;Müntschemier;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Münster;de;Müstair;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Saint-Jean-le-Nouveau;fr;Neu St. Johann;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Neuenburg;de;Neuchâtel;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
